Channel;City;Region;Customer name;Distance from the warehouse 
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Supermarket;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Franchise;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Franchise;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
