"Continent","Country","Year","Life Expectancy","Gender","BMI","Blood Pressure","Cholesterol","Lung Cancer","Liver Cancer","Stomach Cancer","Population","Population Growth"
"Europe","Ukraine",2007,62.3,"women",26.1,132,4.89,3050,826,6300,24908.835,-0.413676388481594
"Asia","United Arab Emirates",2007,75.1,"women",29.5,122,5.29,24.1,14.4,19.6,1651.188,10.6098322351762
"Europe","United Kingdom",2007,77.4,"women",26.9,125,5.38,18900,1590,3720,31321.021,0.9744002132386
"Americas","United States",2007,75.5,"women",28.3,119,5.17,97000,6860,10600,152218.441,0.942787572580809
"Americas","Uruguay",2007,72.4,"women",26.4,124,4.82,283,34.1,239,1725.707,0.218299275007144
"Asia","Uzbekistan",2007,65.9,"women",25.3,124,4.43,430,391,895,13685.371,1.47901751101445
"Oceania","Vanuatu",2007,68.1,"women",28.3,132,4.74,4.74,2.5,4.56,107.736,2.49053444700243
"Asia","Yemen",2007,61.2,"women",26,126,4.59,261,163,390,10556.029,2.87433373312838
"Africa","Zambia",2007,50.6,"women",22.9,132,4.46,66.7,193,162,6327.444,2.74403283681263
"Africa","Zimbabwe",2007,46.6,"women",24.6,132,4.34,188,384,335,6408.522,0.953625291549163
"Asia","Afghanistan",2008,59.1,"women",21.1,125,4.24,396,249,911,13496.556,2.54516709706105
"Europe","Albania",2008,73.5,"women",25.7,129,4.88,160,74.5,138,1493.764,-1.08178266339978
"Africa","Algeria",2008,72.8,"women",26.4,130,4.82,281,154,372,17189.426,1.69403425955102
"Africa","Angola",2008,53.6,"women",23.5,130,4.53,206,254,253,10957.506,3.85257539081529
"Americas","Antigua and Barbuda",2008,72.6,"women",27.5,125,4.92,1.87,1.47,2.2,44.663,1.47914205216758
"Americas","Argentina",2008,71.4,"women",27.5,119,5.07,2840,784,1670,20589.21,0.971382954964648
"Asia","Armenia",2008,69.6,"women",27.1,133,4.8,204,147,192,1544.816,-0.726294535504371
"Oceania","Australia",2008,79.3,"women",26.9,117,5.2,3940,376,1160,10668.128,1.92585775819116
"Europe","Austria",2008,77.4,"women",25.1,124,5.27,1590,318,741,4281.346,0.283798249333018
"Asia","Azerbaijan",2008,67.1,"women",27.5,129,4.66,239,242,528,4459.776,1.01367558304353
"Americas","Bahamas",2008,71.3,"women",29.1,124,5.17,12.3,5.93,12,177.029,1.91769623139011
"Asia","Bahrain",2008,75,"women",28.8,130,5.16,19.2,6.09,9.17,424.602,6.1157470928271
"Asia","Bangladesh",2008,68.4,"women",20.6,125,4.36,3110,784,2600,70738.452,1.33789143208057
"Americas","Barbados",2008,72.2,"women",29.2,126,4.93,9.9,7.01,14.7,145.651,0.462129520419928
"Europe","Belarus",2008,63.9,"women",26.6,130,5.07,430,162,1280,5053.329,-0.21560950411591
"Europe","Belgium",2008,76.9,"women",25.1,122,5.33,2040,295,634,5486.586,0.737623227915919
"Americas","Belize",2008,66.9,"women",29.8,121,4.72,5.83,6.37,5.58,153.039,2.71418503976642
"Africa","Benin",2008,57.2,"women",23.7,130,4.24,77.7,216,144,4381.293,2.82881192199332
"Asia","Bhutan",2008,66.6,"women",22.9,125,4.51,6.4,3.76,9.36,318.644,1.04423325120263
"Europe","Bosnia and Herzegovina",2008,73,"women",26.4,133,4.75,398,175,215,1910.269,-0.22172728953666
"Africa","Botswana",2008,54.6,"women",26.1,133,4.74,42.5,21,20.5,978.824,1.96773739888638
"Americas","Brazil",2008,69.4,"women",26,125,4.87,9410,3290,6080,97231.896,1.04121445118699
"Europe","Bulgaria",2008,69.8,"women",25.5,129,5.04,676,284,666,3861.041,-0.713972360668027
"Africa","Burkina Faso",2008,54.9,"women",21.6,131,4.07,84.9,330,290,7420.314,2.96920365849919
"Africa","Burundi",2008,52.2,"women",21.3,134,4.13,49.6,122,124,4114.011,3.29490793118981
"Asia","Cambodia",2008,63.1,"women",21.7,118,4.55,387,174,372,7131.01,1.40179141491632
"Africa","Cameroon",2008,53.5,"women",24.9,127,4.29,219,562,373,9648.222,2.7520471660236
"Americas","Canada",2008,78.6,"women",26.7,118,5.14,10100,712,2420,16800.443,1.21609741744298
"Africa","Central African Republic",2008,44.8,"women",22.4,131,4.26,63,76.2,99.5,2159.049,1.76340333591625
"Africa","Chad",2008,48.3,"women",21.9,128,4.1,84.5,225,171,5606.877,3.35824898768633
"Americas","Chile",2008,75.4,"women",27.9,126,5,965,402,1140,8485.911,1.07339499041842
"Asia","China",2008,73.3,"women",22.9,124,4.61,159000,101000,130000,658058.462,0.549773513267911
"Americas","Colombia",2008,69.3,"women",26.2,124,4.87,1560,864,2110,22567.928,1.18635188679432
"Africa","Comoros",2008,59.5,"women",22.4,132,4.32,3.51,8.4,5.24,326.07,2.41342270074688
"Americas","Costa Rica",2008,76.1,"women",27,121,4.9,84,77.5,239,2226.713,1.34671506933611
"Europe","Croatia",2008,72.7,"women",25.2,130,5.03,801,195,469,2255.834,-0.229850895454335
"Americas","Cuba",2008,76.7,"women",26.6,126,4.67,1600,332,344,5642.859,-0.0753128324708223
"Asia","Cyprus",2008,76.9,"women",25.9,123,5.19,53.2,14.7,36.5,538.701,2.05995134778755
"Europe","Denmark",2008,76.6,"women",25.1,120,5.42,2120,131,244,2772.095,0.472370682500063
"Africa","Djibouti",2008,57.9,"women",24.4,129,4.66,4,12.1,7.15,390.538,-0.182491079917802
"Americas","Dominican Republic",2008,69.3,"women",26.9,126,4.68,271,211,169,4705.133,1.33580724988209
"Americas","Ecuador",2008,71.8,"women",27.1,123,4.82,324,391,865,7250.59,1.69484155970642
"Africa","Egypt",2008,67.7,"women",30.1,125,4.92,1150,2630,1110,39425.763,1.7667238984246
"Americas","El Salvador",2008,66.6,"women",27.8,120,4.71,153,157,309,3220.666,0.580937795122156
"Africa","Equatorial Guinea",2008,54,"women",24.5,132,4.82,12.8,10.3,6.77,396.805,4.14091389849014
"Africa","Eritrea",2008,59,"women",21.1,126,4.17,23.7,53,48.7,1533.46,2.18802019957005
"Europe","Estonia",2008,68.8,"women",25.2,130,5.23,171,48,204,716.859,-0.367891303199686
"Africa","Ethiopia",2008,58,"women",20.7,127,4.18,462,1160,1050,41560.859,2.77283081787851
"Oceania","Fiji",2008,66.2,"women",29.3,128,5.03,13.7,13.1,14.3,413.666,1.07114410113321
"Europe","Finland",2008,76.3,"women",25.6,127,5.34,771,196,344,2711.722,0.359101841992985
"Europe","France",2008,77.5,"women",24.8,120,5.33,8220,2000,3160,32086.284,0.534234179275402
"Africa","Gabon",2008,60.9,"women",25.9,130,4.9,25.3,39.4,26.1,753.75,2.85987993880946
"Africa","Gambia",2008,57.8,"women",24.8,130,4.23,6.99,65.8,7.62,850.683,3.03478447289152
"Asia","Georgia",2008,68.6,"women",26.4,131,4.71,181,114,244,2168.655,-0.558319282878863
"Europe","Germany",2008,77.1,"women",25.7,125,5.37,17100,2540,8280,41379.657,-0.321351882997781
"Africa","Ghana",2008,59.3,"women",24.3,128,4.17,145,518,420,11652.113,2.58386999619056
"Europe","Greece",2008,77.3,"women",24.9,123,4.93,1410,605,858,5602.025,-0.551667722627377
"Americas","Grenada",2008,69.8,"women",27.3,126,4.71,3.6,2.79,3.5,52.288,0.0995482043035447
"Americas","Guatemala",2008,67.5,"women",26.8,121,4.54,204,628,884,7131.454,2.20076650711025
"Africa","Guinea",2008,54.7,"women",22.4,132,4.16,75.2,379,179,5097.79,2.3287678932172
"Africa","Guinea-Bissau",2008,53,"women",22.9,131,4.06,15.2,43.1,39.6,747.084,2.40522413530772
"Americas","Guyana",2008,63.5,"women",26.5,125,4.39,13.4,12,15.1,374.966,0.305759677708442
"Americas","Haiti",2008,58.4,"women",23.3,125,4.36,270,140,392,4890.335,1.57281690521144
"Americas","Honduras",2008,69.6,"women",26.7,123,4.57,117,138,271,4002.312,2.17715862418279
"Europe","Hungary",2008,69.9,"women",26,129,5.17,3070,324,833,5251.902,-0.321645201826815
"Europe","Iceland",2008,79.7,"women",26,119,5.58,83,4.72,16.4,154.428,1.73524645242894
"Asia","India",2008,64.8,"women",21.3,123,4.48,13300,7440,33200,575948.779,1.4744756197352
"Asia","Indonesia",2008,65.7,"women",23,126,4.71,2860,3180,5520,116983.222,1.25170246266128
"Asia","Iraq",2008,65.4,"women",28.4,126,4.89,465,213,254,14047.922,1.70846996321808
"Europe","Ireland",2008,77.5,"women",26.6,125,5.32,799,81.6,221,2216.519,2.22358016976394
"Asia","Israel",2008,79.1,"women",27.3,121,5.17,573,111,267,3556.01,2.51849998212563
"Europe","Italy",2008,78.9,"women",24.8,124,5.36,10900,4100,7980,30375.911,0.391573230390906
"Americas","Jamaica",2008,71.8,"women",27.2,125,4.7,98.5,46.6,93.4,1400.79,0.390513860052852
"Asia","Japan",2008,79.3,"women",21.9,122,5.19,27200,15500,37000,65624.069,0.0715401575442001
"Asia","Jordan",2008,71.6,"women",29.2,121,5.03,77.2,30.4,65.9,3197.087,5.0916626153076
"Asia","Kazakhstan",2008,61.1,"women",26.6,129,4.93,664,420,1070,8204.799,0.949700963788757
"Africa","Kenya",2008,58.6,"women",23.1,130,4.37,236,268,628,20040.72,2.78915849272605
"Oceania","Kiribati",2008,62.1,"women",31.3,122,4.73,1.87,2.21,1.07,50.127,2.32923692483568
"Asia","Kuwait",2008,73.1,"women",31.2,123,5.19,26.6,15.3,14.1,1111.105,6.91679560903136
"Europe","Latvia",2008,66.4,"women",25.6,130,5.18,248,66,351,1176.689,-1.19993618700565
"Asia","Lebanon",2008,76.2,"women",27.7,128,4.97,265,42.6,113,2337.491,0.000983970689658136
"Africa","Lesotho",2008,47.6,"women",26.8,131,4.27,47.6,30,46.4,1024.133,-0.0841954505188368
"Africa","Liberia",2008,57.3,"women",23.2,131,4.05,23.3,104,74.9,1802.372,4.19106153518873
"Africa","Libya",2008,69.4,"women",29.2,134,4.69,69.8,64.1,62.3,2952.78,1.62320141408914
"Europe","Lithuania",2008,66.4,"women",26,131,5.15,290,86.1,476,1729.33,-1.24079341791844
"Europe","Luxembourg",2008,77,"women",26.1,122,5.45,86,17.2,30.5,245.072,2.07633066346783
"Africa","Madagascar",2008,61.1,"women",20.7,133,4.3,107,242,198,10037.735,2.88954221862689
"Africa","Malawi",2008,52.2,"women",22.9,134,4.36,68.6,151,88,6974.134,2.899530291998
"Asia","Malaysia",2008,71.7,"women",25.4,124,5.12,1100,389,421,13212.119,1.77365886950758
"Asia","Maldives",2008,74.6,"women",26.4,123,4.91,2.28,1.57,1.9,161.102,1.77005685407454
"Africa","Mali",2008,53.6,"women",23.1,128,4.14,77.5,570,392,7072.303,3.30372242637661
"Europe","Malta",2008,77.8,"women",27.1,124,5.24,27.2,6.12,18.2,206.484,0.40407871511722
"Africa","Mauritania",2008,59.9,"women",26.3,130,4.27,30.1,89.1,51.6,1649.899,2.87320631143932
"Africa","Mauritius",2008,69.6,"women",26.1,131,4.92,37.9,20.8,34.6,625.01,0.4316079726959
"Americas","Mexico",2008,73.4,"women",28.7,122,5.15,2340,2670,3640,56615.017,1.48056178647034
"Asia","Mongolia",2008,62.6,"women",25.7,130,4.71,78.4,531,229,1324.955,1.5274849983257
"Europe","Montenegro",2008,72.1,"women",25.7,129,5,83.1,18.2,17.3,314.971,0.198506745730045
"Africa","Morocco",2008,71.6,"women",26.2,127,4.69,377,137,448,15986.463,1.25016197910023
"Africa","Mozambique",2008,51.6,"women",23.3,135,4.37,139,586,310,11546.279,2.71228241441155
"Asia","Myanmar",2008,62.4,"women",22.5,123,4.54,945,823,1440,25829.264,0.685640804987287
"Africa","Namibia",2008,53.9,"women",25.1,133,4.6,16.1,7.8,12.6,1056.63,1.79852441611544
"Asia","Nepal",2008,65.7,"women",20.7,126,4.27,446,160,698,13411.546,1.11713639121744
"Europe","Netherlands",2008,78.1,"women",25.5,122,5.28,4840,391,1390,8345.105,0.34260345438744
"Oceania","New Zealand",2008,78.4,"women",27.4,119,5.19,828,71.6,190,2179.843,1.01068936883233
"Americas","Nicaragua",2008,69.9,"women",27.6,124,4.57,66.3,124,134,2874.141,1.42467505290658
"Africa","Niger",2008,54.7,"women",22,135,3.97,100,286,219,7640.715,3.77896659675825
"Africa","Nigeria",2008,49.2,"women",23.7,136,4.12,755,3590,976,74317.325,2.65253646185105
"Europe","Norway",2008,78.4,"women",25.7,126,5.32,1150,73.5,254,2394.041,0.929173301360327
"Asia","Oman",2008,73.3,"women",26.7,127,5.05,16.5,14.3,22.5,1145.584,1.76013018656581
"Asia","Pakistan",2008,63.7,"women",23.4,127,4.55,1690,1650,2030,83184.598,2.31637722334556
"Americas","Panama",2008,73.6,"women",27.7,123,4.93,81.5,53.5,154,1748.284,1.84556359274684
"Oceania","Papua New Guinea",2008,61.9,"women",25.8,120,4.76,148,83.4,187,3427.754,2.45781905212542
"Americas","Paraguay",2008,69.8,"women",25.9,124,4.78,151,58.2,135,2990.188,1.33897994326052
"Americas","Peru",2008,70.6,"women",26,120,4.75,857,753,1610,14315.467,0.794004124709557
"Asia","Philippines",2008,64.9,"women",23.5,122,4.93,2780,1640,926,45105.958,1.57152503393864
"Europe","Poland",2008,71.5,"women",25.9,130,5.15,5980,803,2050,19809.415,0.0414924368973836
"Europe","Portugal",2008,76.1,"women",26.2,127,5.16,857,266,1290,5499.769,0.419863956409373
"Asia","Qatar",2008,76,"women",28.9,126,5.25,5.72,4.49,5.69,367.134,9.55266903596016
"Europe","Romania",2008,69.8,"women",25.2,129,4.9,1870,867,1270,10705.935,-0.886050390667425
"Africa","Rwanda",2008,59,"women",22.1,135,4.29,62.5,137,88,4859.345,2.67003424697331
"Oceania","Samoa",2008,69.4,"women",33.7,126,4.69,1.9,1.31,3.21,88.58,0.765581808047143
"Africa","Sao Tome and Principe",2008,63.6,"women",24.9,136,4.17,2.62,0.71,4.96,85.878,2.65856982331987
"Asia","Saudi Arabia",2008,72,"women",29.6,127,4.84,274,439,197,11371.436,2.57516854210292
"Africa","Senegal",2008,61.2,"women",24.3,130,4.24,96.5,285,209,6153.634,2.78257703305807
"Europe","Serbia",2008,70.7,"women",25.7,130,5.09,1490,335,489,4622.34,-0.479437661908175
"Africa","Seychelles",2008,68.1,"women",28,129,5.18,2.68,1.32,1.58,44.315,-0.404539835936622
"Africa","Sierra Leone",2008,45.6,"women",23.9,135,4.05,45.9,145,125,3083.195,2.37112115020277
"Asia","Singapore",2008,78.8,"women",22.9,121,5.3,400,132,216,2314.982,3.43976764968722
"Europe","Slovenia",2008,75.3,"women",26.6,130,5.2,335,53.5,182,1025.86,0.228329016543827
"Oceania","Solomon Islands",2008,66.4,"women",28.9,124,4.67,9.75,6.87,12.4,247.227,2.40789680797303
"Africa","Somalia",2008,51.8,"women",22.7,132,4.33,48.8,138,142,5700.49,2.89538983441223
"Africa","South Africa",2008,51.2,"women",29.5,131,4.71,1660,810,794,25226.85,1.32943303541518
"Europe","Spain",2008,78.2,"women",26.3,122,5.12,3800,1610,3610,23293.236,1.35556527923255
"Asia","Sri Lanka",2008,70.7,"women",23.1,125,4.69,303,173,388,10204.466,0.964451430589276
"Africa","Sudan",2008,60.1,"women",23.2,130,4.54,533,372,586,16541.366,2.28982274959177
"Americas","Suriname",2008,66.6,"women",27.8,125,4.75,18.2,11.4,9.94,256.505,1.19378725653801
"Europe","Sweden",2008,79.1,"women",25.1,123,4.96,1850,225,475,4644.085,0.709158185299296
"Europe","Switzerland",2008,79.4,"women",24.1,120,5.24,1370,200,395,3878.81,1.01625402235748
"Asia","Tajikistan",2008,66.2,"women",23.9,130,4.32,77.1,80.4,241,3576.388,2.00182533797274
"Asia","Thailand",2008,69.9,"women",24.4,121,5.12,5460,5140,1580,33880.021,0.595457636897769
"Asia","Timor-Leste",2008,65.1,"women",21.5,123,4.4,19.3,9.25,15.1,522.113,1.81590909534108
"Africa","Togo",2008,55.5,"women",22.7,131,4.07,53.3,137,97.8,3068.509,2.69863853163969
"Oceania","Tonga",2008,69.1,"women",34.3,126,4.91,4.36,4.31,3.59,51.561,0.7641196013289
"Americas","Trinidad and Tobago",2008,66,"women",28.3,125,4.81,31.8,17.9,26.4,663.099,0.491013989352272
"Africa","Tunisia",2008,72.4,"women",27.9,129,4.87,147,55.5,170,5213.159,1.12343879813229
"Asia","Turkey",2008,70.1,"women",28.3,124,4.8,2580,725,1930,35783.887,1.22438212947252
"Asia","Turkmenistan",2008,62.4,"women",24.7,129,4.64,61.7,69.1,113,2508.075,1.34827973713273
"Africa","Uganda",2008,53.9,"women",22.5,135,4.28,247,513,283,15476.024,3.30355940152381
"Europe","Ukraine",2008,62.8,"women",26.2,132,4.88,3090,848,6360,24822.177,-0.347900654526795
"Asia","United Arab Emirates",2008,75.3,"women",29.6,122,5.28,27.6,15.9,21.9,1823.38,10.4283703612187
"Europe","United Kingdom",2008,77.7,"women",26.9,124,5.37,19200,1660,3640,31653.595,1.06182362318266
"Americas","United States",2008,75.7,"women",28.3,119,5.15,99200,7160,10800,153657.128,0.945146324288005
"Americas","Uruguay",2008,72.6,"women",26.6,124,4.79,298,34.9,232,1730.363,0.26980246357
"Asia","Uzbekistan",2008,66.3,"women",25.4,124,4.41,432,394,890,13894.597,1.52882958014073
"Oceania","Vanuatu",2008,68.3,"women",28.5,132,4.74,4.94,2.61,4.71,110.427,2.49777233236801
"Asia","Yemen",2008,61.6,"women",26.1,126,4.58,272,168,394,10857.975,2.86041275559209
"Africa","Zambia",2008,51.9,"women",23.1,132,4.46,68.9,195,157,6503.983,2.79005234973237
"Africa","Zimbabwe",2008,48.2,"women",24.6,132,4.33,184,389,343,6477.094,1.07001271119925
"Asia","Afghanistan",1990,50.9,"men",21.3,125,4.49,486,103,409,6344.617,7.51906695077102
"Europe","Albania",1990,75,"men",25.3,133,4.96,456,144,201,1682.757,-0.822103250796167
"Africa","Algeria",1990,68.3,"men",23.1,130,4.86,1060,194,596,13036.365,2.52030378100031
"Africa","Angola",1990,43.9,"men",21.1,134,4.45,277,321,295,5936.747,3.2963506782418
"Americas","Antigua and Barbuda",1990,73.8,"men",24.3,132,4.88,3.36,2.15,6.38,30.314,1.16447845879792
"Americas","Argentina",1990,75.2,"men",25.9,128,5.21,6980,815,3360,15884.933,1.37335171637173
"Asia","Armenia",1990,70.8,"men",24.2,136,4.99,760,132,345,1714.812,-1.29122026204621
"Oceania","Australia",1990,80,"men",25.8,133,5.57,5130,277,1330,8455.083,1.29620253284325
"Europe","Austria",1990,78.8,"men",25.3,135,5.67,2640,370,1200,3694.671,0.804726591352788
"Asia","Azerbaijan",1990,68.8,"men",24.8,134,4.96,885,197,785,3541.447,1.54925373724356
"Americas","Bahamas",1990,74.2,"men",25.4,134,5.25,18.4,7.82,15.5,127.134,1.83979108657009
"Asia","Bahrain",1990,73.7,"men",25.1,132,5.16,38.8,5.15,10.8,286.168,2.8937547175086
"Asia","Bangladesh",1990,58.8,"men",20.2,124,4.41,6600,828,3430,53216.139,2.31505145459726
"Americas","Barbados",1990,73.5,"men",25,131,4.97,18.3,9.61,34.4,125.539,0.430145213837924
"Europe","Belarus",1990,75.5,"men",25,137,5.28,3420,214,2330,4760.811,0.11798409976788
"Europe","Belgium",1990,79.2,"men",25.5,133,5.85,6350,259,1310,4895.87,0.341900418107517
"Americas","Belize",1990,73.6,"men",25.2,126,4.7,6.99,5.06,7.17,94.572,1.89802478534873
"Africa","Benin",1990,55.8,"men",21.2,131,4.08,87.8,270,131,2423.54,3.57493583765896
"Asia","Bhutan",1990,53.2,"men",21.8,124,4.43,9.87,5.77,12.4,272.811,0.674459607567155
"Europe","Bosnia and Herzegovina",1990,74.3,"men",25.4,133,4.84,1360,167,366,2210.49,-2.23841772638644
"Africa","Botswana",1990,64.3,"men",20.2,133,4.58,67.5,24.1,18.4,615.288,3.16485938292311
"Americas","Brazil",1990,69.2,"men",23.6,134,4.85,9190,2200,9450,74077.777,1.74317730943789
"Europe","Bulgaria",1990,74.8,"men",25.8,136,5.28,2680,521,1320,4357.452,-0.976878230672421
"Africa","Burkina Faso",1990,50.5,"men",20.3,129,3.97,103,532,250,4305.69,2.75240437653431
"Africa","Burundi",1990,49.7,"men",21.3,130,4.03,107,105,167,2664.653,2.31268386540386
"Asia","Cambodia",1990,55.9,"men",19.9,120,4.29,559,114,316,4334.68,3.64912750191479
"Africa","Cameroon",1990,53.7,"men",22.5,130,4.2,276,977,304,5856.357,3.06448189548553
"Americas","Canada",1990,80.5,"men",26.1,130,5.43,10000,486,2500,13656.649,1.22617927721508
"Africa","Central African Republic",1990,51,"men",20.8,132,4.22,122,111,146,1382.256,2.57542741720781
"Africa","Chad",1990,48.1,"men",20.5,129,4.01,92.6,362,163,2957.698,3.29239158291348
"Americas","Chile",1990,76.7,"men",25.1,132,5,1190,257,1940,6519.942,1.6815333633336
"Asia","China",1990,71,"men",21.9,125,4.22,177000,193000,207000,603859.475,1.36097789970091
"Americas","Colombia",1990,72.4,"men",23.1,128,4.92,1600,537,2470,16315.306,1.92039303461424
"Africa","Comoros",1990,58.3,"men",21.4,131,4.33,5.08,6.63,7.1,206.386,3.0215227777078
"Americas","Costa Rica",1990,78.3,"men",24.5,128,4.68,134,58,399,1571.469,2.6172963004679
"Europe","Croatia",1990,76,"men",25.6,138,5.3,2300,109,1030,2315.815,-0.349941597234678
"Americas","Cuba",1990,76.6,"men",23.6,129,4.82,2240,360,532,5307.315,0.717443754516177
"Asia","Cyprus",1990,78.6,"men",25.9,133,5.43,93.7,13.7,32,388.631,2.11048526751599
"Europe","Denmark",1990,77.7,"men",24.7,133,5.79,2260,160,471,2535.813,0.296985621573829
"Africa","Djibouti",1990,58.3,"men",22,132,4.83,6.74,9.2,9.7,296.959,2.78287575052449
"Americas","Dominican Republic",1990,70.5,"men",23.4,129,4.37,253,103,167,3589.318,1.88395121301594
"Americas","Ecuador",1990,71.5,"men",24.3,130,4.79,278,194,853,5143.705,2.35013477639173
"Africa","Egypt",1990,67,"men",25.1,125,4.66,1260,3430,961,28206.576,2.33362957630872
"Americas","El Salvador",1990,68.9,"men",24.4,125,4.56,112,52.8,194,2570.974,1.27885385071961
"Africa","Equatorial Guinea",1990,49.9,"men",21.2,133,4.29,14.8,17.1,16.8,208.02,3.53379482742044
"Africa","Eritrea",1990,51.3,"men",20.2,124,4.08,35.3,37.6,59.4,1129.538,0.274359959558681
"Europe","Estonia",1990,74.3,"men",24.8,139,5.45,633,35.5,292,731.96,-1.21782611071643
"Africa","Ethiopia",1990,48.7,"men",19.6,125,4.13,1080,1110,1570,23880.379,3.6032384578151
"Oceania","Fiji",1990,67.6,"men",23.7,128,5.05,16.4,18.2,12.4,370.088,0.969228940143963
"Europe","Finland",1990,79.1,"men",25.7,138,5.79,1810,133,607,2424.637,0.522387474908603
"Europe","France",1990,80.8,"men",25,135,5.78,19800,3640,5960,27576.949,0.408362796043891
"Africa","Gabon",1990,62.7,"men",22.9,138,4.85,47.8,68,38.3,465.567,2.86145710499241
"Africa","Gambia",1990,53.5,"men",20.3,132,4.07,12.3,114,13.4,476.82,3.86225410007969
"Asia","Georgia",1990,73.9,"men",25,138,5.05,1080,186,541,2572.132,-0.718975542468269
"Europe","Germany",1990,78.6,"men",26,138,5.87,36000,2430,12500,38145.562,0.686997349783446
"Africa","Ghana",1990,57.9,"men",21.3,129,4.02,201,669,248,7438.252,2.97776950821241
"Europe","Greece",1990,79.5,"men",25.1,130,5.3,4540,1190,1080,5070.013,0.902640683564325
"Americas","Grenada",1990,70.8,"men",23.8,129,4.58,5.84,3.16,5.46,47.508,0.326260840279519
"Americas","Guatemala",1990,65.2,"men",23.9,125,4.46,158,146,327,4603.183,2.22730662674067
"Africa","Guinea",1990,50.9,"men",21.4,130,3.97,132,586,143,3048.946,2.92848741827504
"Africa","Guinea-Bissau",1990,51.3,"men",21.1,130,3.97,26.6,74.5,49,471.254,2.30937031834212
"Americas","Guyana",1990,66.9,"men",22.8,126,4.26,18.2,15.1,26.2,366.732,-0.0518089504052154
"Americas","Haiti",1990,56.1,"men",23,127,4.25,413,107,446,3461.319,2.01215201488219
"Americas","Honduras",1990,69,"men",23.7,126,4.46,92.8,52.2,158,2461.224,2.89416973018303
"Europe","Hungary",1990,73.8,"men",25.9,139,5.31,5340,570,1720,4983.769,-0.235404169013451
"Europe","Iceland",1990,80.5,"men",25.5,132,5.99,53,3.66,29.8,128.057,0.989403156406932
"Asia","India",1990,58.3,"men",20.7,125,4.59,23600,7280,30500,453257.379,2.08265114642512
"Asia","Indonesia",1990,64.7,"men",20.4,126,4.49,6860,2680,5080,91096.365,1.71901151050319
"Asia","Iraq",1990,69.6,"men",25.8,128,4.91,561,182,217,8785.138,2.68591113765088
"Europe","Ireland",1990,77.7,"men",26.1,136,5.67,999,53.4,321,1746.919,0.125134594105389
"Asia","Israel",1990,78.4,"men",25.3,130,5.53,710,71.5,321,2220.054,2.97745009806068
"Europe","Italy",1990,80.2,"men",25.5,135,5.39,27500,5130,11900,27732.633,0.0462848226491849
"Americas","Jamaica",1990,74.3,"men",22.7,129,4.61,209,57.2,169,1194.058,0.767550654993306
"Asia","Japan",1990,81.9,"men",22.4,133,5.06,35000,23200,67200,61357.276,0.314657058765129
"Asia","Jordan",1990,71.4,"men",25.8,126,5.1,121,20.9,53.8,1868.03,5.41988083703153
"Asia","Kazakhstan",1990,71.5,"men",25,136,5.1,4200,1010,2310,7951.679,-0.0505427847376665
"Africa","Kenya",1990,60,"men",20.8,128,4.39,169,239,538,11820.051,3.33185533632639
"Oceania","Kiribati",1990,63.2,"men",26.4,125,4.53,3.38,2.02,2.33,35.812,1.82899586730705
"Asia","Kuwait",1990,73.3,"men",26.4,131,5.38,54.9,20.9,18.7,1190.597,-2.77423847028003
"Europe","Latvia",1990,74.2,"men",25.3,138,5.42,1020,57.1,477,1241.432,-0.667696659986209
"Asia","Lebanon",1990,71.8,"men",25,129,4.84,471,41.9,169,1383.392,4.37916367884156
"Africa","Lesotho",1990,61,"men",20.7,129,4.13,101,34.2,46.8,777.547,3.48969258449972
"Africa","Liberia",1990,49.4,"men",21.4,131,4.06,28.4,183,51.8,1031.842,-1.72487648302745
"Africa","Libya",1990,70.4,"men",25.2,134,5.02,274,51.2,60.8,2338.935,2.26329504667722
"Europe","Lithuania",1990,75.6,"men",26,139,5.61,1280,60.3,653,1748.952,0.00417392815812514
"Europe","Luxembourg",1990,78.7,"men",25.7,136,5.99,203,15.7,60.2,186.8,1.30353319057816
"Africa","Madagascar",1990,52.2,"men",20.9,130,4.32,154,205,260,5791.13,2.92578477775494
"Africa","Malawi",1990,48.5,"men",20.9,130,4.18,89.8,135,72.9,4662.382,2.07784347142728
"Asia","Malaysia",1990,72.6,"men",22.6,126,4.86,1400,496,475,9172.078,2.77101873752055
"Asia","Maldives",1990,61,"men",21.3,125,4.5,10.6,4.17,3.48,114.398,2.63815800975542
"Africa","Mali",1990,46.5,"men",20.5,126,4.05,142,936,375,4171.132,2.1701303147443
"Europe","Malta",1990,77.7,"men",26.1,133,5.65,89.5,5.32,29.9,178.261,0.863901806901113
"Africa","Mauritania",1990,59.7,"men",21.3,131,4.31,47.2,117,50.1,1009.971,2.587202998898
"Africa","Mauritius",1990,73.3,"men",23.1,133,4.84,68.2,12.7,51.9,526.543,1.23066872031344
"Americas","Mexico",1990,73.8,"men",25.6,127,4.86,3710,1330,2580,41540.39,1.76722462162729
"Asia","Mongolia",1990,62.9,"men",23.8,135,4.94,249,437,325,1078.252,1.58729128255733
"Europe","Montenegro",1990,77.7,"men",25.7,137,5.23,205,19.6,28.4,306.227,0.174380443265959
"Africa","Morocco",1990,66.3,"men",24,126,4.66,2070,137,484,12375.888,1.7945378949777
"Africa","Mozambique",1990,44.5,"men",20.6,133,4.23,130,509,299,6204.936,2.39696267616621
"Asia","Myanmar",1990,61,"men",20,120,4.2,5280,692,1960,20123.771,1.3323099333619
