Name,Platform,Release Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Sesame Street: Cookie's Counting Carnival,Wii,2010,Misc,Other,0.29,0,0,0.02,0.31
Phineas and Ferb Ride Again,DS,2010,Action,Other,0.25,0.04,0,0.02,0.31
TRON: Evolution,X360,2010,Action,Other,0.24,0.05,0,0.02,0.31
Yu-Gi-Oh! 5D's World Championship 2010 Reverse of Arcadia,DS,2010,Strategy,Other,0.18,0.02,0.09,0.02,0.31
Orphen: Scion of Sorcery,PS2,2000,Role-Playing,Activision,0.15,0.12,0,0.04,0.31
NCAA Final Four 2002,PS2,2001,Sports,Sony Computer Entertainment,0.15,0.12,0,0.04,0.31
Music Maker,PS2,2001,Misc,Other,0.15,0.12,0,0.04,0.31
Star Wars Racer Revenge,PS2,2002,Racing,Other,0.15,0.12,0,0.04,0.31
Blade II,PS2,2002,Action,Activision,0.15,0.12,0,0.04,0.31
Disney's Stitch: Experiment 626,PS2,2002,Action,Sony Computer Entertainment,0.15,0.12,0,0.04,0.31
Jampack: Summer 2003 (RP-M),PS2,2003,Misc,Sony Computer Entertainment,0.15,0.12,0,0.04,0.31
FIFA Street,PS2,2005,Sports,Electronic Arts,0.15,0.12,0,0.04,0.31
Jampack Volume 12,PS2,2005,Misc,Sony Computer Entertainment,0.15,0.12,0,0.04,0.31
Shaun White Snowboarding,PS2,2008,Sports,Ubisoft,0.15,0.12,0,0.04,0.31
Jikkyou Powerful Pro Yakyuu 4,N64,1997,Sports,Other,0,0,0.26,0.05,0.31
Doubutsu no Mori,N64,2001,Simulation,Nintendo,0,0,0.26,0.05,0.31
Silent Hill: Shattered Memories,PSP,2010,Action,Other,0.09,0.13,0.01,0.08,0.31
Shenmue II,XB,2002,Adventure,Microsoft Game Studios,0.22,0.08,0,0.01,0.31
Littlest Pet Shop: City Friends,DS,2009,Simulation,Electronic Arts,0.29,0,0,0.02,0.31
"Monsters, Inc.",PS2,2002,Adventure,Sony Computer Entertainment,0.15,0.12,0,0.04,0.31
WipEout Pulse,PSP,2007,Racing,Sony Computer Entertainment,0.13,0.12,0,0.06,0.31
RealSports Boxing,2600,1986,Sports,Atari,0.28,0.02,0,0,0.3
NBA Street V3,GC,2005,Sports,Electronic Arts,0.23,0.06,0,0.01,0.3
Def Jam Rapstar,X360,2010,Misc,Other,0.25,0.03,0,0.02,0.3
Syphon Filter: Dark Mirror,PSP,2006,Shooter,Sony Computer Entertainment,0.26,0.01,0,0.03,0.3
The Godfather: Dons Edition,PS3,2007,Action,Electronic Arts,0.25,0.02,0,0.03,0.3
Up,X360,2009,Action,THQ,0.2,0.07,0,0.03,0.3
Front Mission Evolved,PS3,2010,Shooter,Other,0.09,0.07,0.11,0.03,0.3
Burnout,GC,2002,Racing,Other,0.23,0.06,0,0.01,0.3
Scooby-Doo! Night of 100 Frights,GC,2002,Platform,THQ,0.23,0.06,0,0.01,0.3
Shark Tale,GC,2004,Action,Activision,0.23,0.06,0,0.01,0.3
Cart World Series,PS,1997,Racing,Sony Computer Entertainment,0.17,0.11,0,0.02,0.3
Macross Digital Mission VF-X,PS,1997,Simulation,Namco Bandai,0,0,0.28,0.02,0.3
Army Men: Air Attack 2,PS,2000,Action,Other,0.17,0.11,0,0.02,0.3
Nicktoons: Battle for Volcano Island,DS,2006,Action,THQ,0.28,0,0,0.02,0.3
N3: Ninety-Nine Nights,X360,2006,Action,Microsoft Game Studios,0.2,0.03,0.05,0.02,0.3
Mega Man ZX,DS,2006,Platform,Capcom,0.18,0,0.1,0.02,0.3
Looney Tunes: Duck Amuck,DS,2007,Action,Other,0.28,0,0,0.02,0.3
Spider-Man: Friend or Foe,X360,2007,Action,Activision,0.26,0.02,0,0.02,0.3
Wacky Races: Crash & Dash,Wii,2008,Racing,Other,0.27,0.01,0,0.02,0.3
Dance Dance Revolution Universe 3,X360,2008,Simulation,Other,0.28,0,0,0.02,0.3
Magna Carta 2,X360,2009,Role-Playing,Other,0.13,0.08,0.07,0.02,0.3
Jonas,DS,2009,Adventure,Other,0.28,0,0,0.02,0.3
Alvin and the Chipmunks: The Squeakquel,DS,2009,Misc,Other,0.28,0,0,0.02,0.3
Batman: The Brave and the Bold the Videogame,Wii,2010,Action,Other,0.22,0.06,0,0.02,0.3
Eternal Ring,PS2,2000,Role-Playing,Ubisoft,0.1,0.07,0.1,0.03,0.3
Capcom Classics Collection Remixed,PSP,2006,Misc,Capcom,0.27,0,0,0.03,0.3
Stranglehold,PS3,2007,Shooter,Other,0.24,0.03,0,0.03,0.3
Trauma Center: New Blood,Wii,2007,Simulation,Nintendo,0.22,0.04,0.01,0.03,0.3
MySims Party,DS,2009,Simulation,Electronic Arts,0.15,0.12,0,0.03,0.3
Spider-Man 3,PSP,2007,Platform,Activision,0.01,0.23,0,0.06,0.3
The Sims 2: Pets,PS2,2006,Simulation,Electronic Arts,0.02,0.01,0,0.27,0.3
Tiger Woods PGA Tour 06,X360,2005,Sports,Electronic Arts,0.28,0,0,0.02,0.3
Happy Feet,DS,2006,Action,Other,0.27,0.01,0,0.02,0.3
Lord of the Rings: Battle for Middle-Earth,X360,2006,Strategy,Electronic Arts,0.28,0,0,0.02,0.3
Math Play,DS,2006,Puzzle,Ubisoft,0.28,0,0,0.02,0.3
NBA Live 08,PSP,2007,Sports,Electronic Arts,0.28,0,0,0.02,0.3
Shrek's Carnival Craze Party Games,Wii,2008,Misc,Activision,0.28,0,0,0.02,0.3
Major League Baseball 2K8,PS3,2008,Sports,Other,0.28,0,0,0.02,0.3
Little King's Story,Wii,2009,Strategy,Other,0.15,0.11,0.02,0.02,0.3
Rapala Pro Bass Fishing 2010,Wii,2010,Sports,Activision,0.23,0.05,0,0.02,0.3
Monsters vs. Aliens,PS3,2009,Action,Activision,0.21,0.06,0,0.03,0.3
Power Pro Kun Pocket 4,GBA,2002,Sports,Other,0,0,0.29,0.01,0.3
Lupin the 3rd: Treasure of the Sorcerer King,PS2,2002,Adventure,Other,0.02,0.02,0.25,0.01,0.3
Need for Speed Underground,GBA,2003,Racing,Electronic Arts,0.21,0.08,0,0.01,0.3
Duel Masters: Sempai Legends,GBA,2003,Misc,Atari,0.21,0.08,0,0.01,0.3
FlatOut: Head On,PSP,2008,Racing,Other,0.13,0.11,0,0.06,0.3
Famista '91,NES,1990,Sports,Namco Bandai,0,0,0.3,0,0.3
Decathlete,SAT,1994,Sports,Sega,0,0,0.3,0,0.3
Daikaijyuu Monogatari,SNES,1994,Role-Playing,Other,0,0,0.3,0,0.3
Gameboy Gallery,GB,1995,Misc,Nintendo,0,0,0.3,0,0.3
Blazing Heroes,SAT,1995,Role-Playing,Sega,0,0,0.3,0,0.3
Winning Post 2,SNES,1995,Sports,Other,0,0,0.3,0,0.3
Far East of Eden Zero,SNES,1995,Role-Playing,Other,0,0,0.3,0,0.3
Virtua Cop 2,SAT,1996,Shooter,Sega,0,0,0.3,0,0.3
Dragon Force,SAT,1996,Strategy,Sega,0,0,0.3,0,0.3
Super Bomberman 5,SNES,1997,Puzzle,Other,0,0,0.3,0,0.3
Monster Truck Madness 64,N64,1999,Racing,Take-Two Interactive,0.24,0.06,0,0,0.3
Quake II,N64,1999,Shooter,Activision,0.24,0.06,0,0,0.3
Hamster Tarou,GB,1999,Simulation,Other,0,0,0.3,0,0.3
Touhoku Daigaku Mirai Kagaku Gijutsu Kyoudou Kenkyuu Center Kawashima Ryuuta Kyouju Kanshu: Nou Ryoku Trainer Portable,PSP,2005,Misc,Sega,0,0,0.3,0,0.3
Harvest Moon DS Cute (US sales),DS,2005,Simulation,Other,0.3,0,0,0,0.3
Nounai Aeshe: IQ Suppli DS,DS,2006,Misc,Other,0,0,0.3,0,0.3
Super Robot Taisen W,DS,2007,Strategy,Other,0,0,0.3,0,0.3
Super Robot Taisen OG: Original Generations Gaiden,PS2,2007,Strategy,Other,0,0,0.3,0,0.3
Power Pro Kun Pocket 10,DS,2007,Sports,Other,0,0,0.3,0,0.3
Fossil Fighters (JP sales),DS,2008,Role-Playing,Nintendo,0,0,0.3,0,0.3
Puyo Puyo 7,DS,2009,Puzzle,Sega,0,0,0.3,0,0.3
Taiko no Tatsujin Wii: Minna de Party * 3-Yome!,Wii,2010,Misc,Namco Bandai,0,0,0.3,0,0.3
Spirit: Stallion of the Cimarron,GBA,2002,Platform,THQ,0.21,0.08,0,0.01,0.3
Crazy Taxi: Catch a Ride,GBA,2003,Racing,THQ,0.21,0.08,0,0.01,0.3
Yu Yu Hakusho Ghost Files: Spirit Detective,GBA,2003,Action,Atari,0.21,0.08,0,0.01,0.3
Power Pro Kun Pocket 6,GBA,2003,Sports,Other,0,0,0.29,0.01,0.3
Finding Nemo: The Continuing Adventures,GBA,2004,Action,THQ,0.21,0.08,0,0.01,0.3
Harry Potter and the Order of the Phoenix,X360,2007,Action,Electronic Arts,0.24,0.04,0,0.02,0.3
Batman: The Brave and the Bold the Videogame,DS,2010,Action,Other,0.24,0.04,0,0.02,0.3
Rayman 2: Revolution,PS2,2000,Platform,Ubisoft,0.15,0.11,0,0.04,0.3
Hard Hitter Tennis,PS2,2001,Sports,Other,0.15,0.11,0,0.04,0.3
Pride FC: Fighting Championships,PS2,2003,Fighting,THQ,0.15,0.11,0,0.04,0.3
Showdown: Legends of Wrestling,PS2,2004,Fighting,Other,0.15,0.11,0,0.04,0.3
Full Spectrum Warrior,PS2,2005,Strategy,THQ,0.15,0.11,0,0.04,0.3
Dreamworks Madagascar Kartz,PS3,2009,Racing,Activision,0.19,0.07,0,0.04,0.3
SimCity 4,PC,2003,Simulation,Electronic Arts,0.01,0.24,0,0.05,0.3
Need for Speed: Most Wanted,PC,2005,Racing,Electronic Arts,0.02,0.23,0,0.05,0.3
1701 A.D.,PC,2006,Simulation,Other,0,0.25,0,0.05,0.3
Wanted: Weapons of Fate,PS3,2009,Shooter,Other,0.14,0.1,0.01,0.05,0.3
Midway Arcade Treasures 2,XB,2004,Misc,Other,0.24,0.05,0,0.01,0.3
X-Men: Reign of Apocalypse,GBA,2001,Action,Activision,0.2,0.08,0,0.01,0.29
Disney's Extreme Skate Adventure,GBA,2003,Sports,Activision,0.2,0.08,0,0.01,0.29
ATV Quad Power Racing 2,GC,2003,Racing,Other,0.22,0.06,0,0.01,0.29
F/A-18F Super Hornet,GBA,2004,Simulation,Other,0.2,0.08,0,0.01,0.29
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,GC,2004,Action,THQ,0.22,0.06,0,0.01,0.29
Dragon Ball GT: Transformation,GBA,2005,Action,Atari,0.2,0.08,0,0.01,0.29
Fantastic 4: Flame On,GBA,2005,Action,Activision,0.2,0.08,0,0.01,0.29
Yu-Gi-Oh! Double Pack,GBA,2006,Role-Playing,Other,0.2,0.08,0,0.01,0.29
Final Fantasy VI Advance,GBA,2006,Role-Playing,Nintendo,0,0,0.28,0.01,0.29
NBA In The Zone,PS,1995,Sports,Other,0.16,0.11,0,0.02,0.29
VMX Racing,PS,1997,Racing,Other,0.16,0.11,0,0.02,0.29
Tigger's Honey Hunt,PS,2000,Platform,Ubisoft,0.16,0.11,0,0.02,0.29
Arcade Hits: Frisky Tom,PS,2002,Action,Other,0.16,0.11,0,0.02,0.29
Baby Pals,DS,2007,Simulation,THQ,0.26,0.01,0,0.02,0.29
Remington Super Slam Hunting: Africa,Wii,2010,Sports,Other,0.27,0,0,0.02,0.29
Sesame Street: Elmo's A-to-Zoo Adventure,DS,2010,Misc,Other,0.27,0,0,0.02,0.29
iCarly 2: iJoin The Click!,DS,2010,Adventure,Activision,0.26,0.01,0,0.02,0.29
Assassin's Creed II: Discovery,DS,2009,Action,Ubisoft,0.15,0.11,0,0.03,0.29
Monopoly Streets,X360,2010,Misc,Electronic Arts,0.16,0.1,0,0.03,0.29
Beyblade: Metal Masters,DS,2010,Action,Other,0.16,0.1,0,0.03,0.29
Monopoly,DS,2010,Misc,Electronic Arts,0.16,0.1,0,0.03,0.29
Fast Food,2600,1981,Action,Other,0.27,0.02,0,0,0.29
Dolphin,2600,1983,Action,Activision,0.27,0.02,0,0,0.29
War Gods,N64,1997,Fighting,Other,0.23,0.06,0,0,0.29
Viz,N64,1998,Racing,Other,0.23,0.06,0,0,0.29
Top Gear Overdrive,N64,1998,Racing,Other,0.23,0.06,0,0,0.29
Xena: Warrior Princess - The Talisman of Fate,N64,1999,Fighting,Other,0.23,0.06,0,0,0.29
Jeremy McGrath Supercross 2000,N64,1999,Racing,Other,0.23,0.06,0,0,0.29
The New Tetris,N64,1999,Puzzle,Nintendo,0.22,0.05,0.02,0,0.29
Ken Griffey Jr.'s Slugfest,N64,1999,Sports,Nintendo,0.23,0.06,0,0,0.29
Supercross 2000,N64,1999,Racing,Electronic Arts,0.23,0.06,0,0,0.29
Earthworm Jim,GBA,2001,Platform,Other,0.2,0.08,0,0.01,0.29
Outlaw Golf,XB,2002,Sports,Other,0.22,0.06,0,0.01,0.29
From TV Animation One Piece: Treasure Battle!,GC,2002,Fighting,Namco Bandai,0,0,0.28,0.01,0.29
Hamster Club 4: Shigessa Daidassou,GBA,2003,Simulation,Other,0,0,0.28,0.01,0.29
Pirates of the Caribbean,XB,2003,Role-Playing,Ubisoft,0.22,0.06,0,0.01,0.29
Tales of Phantasia,GBA,2003,Role-Playing,Nintendo,0.08,0.03,0.17,0.01,0.29
The Lord of the Rings: The Third Age,GC,2004,Role-Playing,Electronic Arts,0.22,0.06,0,0.01,0.29
Spyro: A Hero's Tail,GC,2004,Platform,Other,0.22,0.06,0,0.01,0.29
Area 51,XB,2005,Shooter,Other,0.22,0.06,0,0.01,0.29
The Punisher,XB,2005,Action,THQ,0.22,0.06,0,0.01,0.29
Madden NFL 08,XB,2007,Sports,Electronic Arts,0.22,0.06,0,0.01,0.29
Warriors Orochi 2,PSP,2008,Action,Other,0.06,0,0.22,0.01,0.29
Shin Megami Tensei: Strange Journey,DS,2009,Role-Playing,Other,0.14,0,0.14,0.01,0.29
DX Game of Life,PS,1996,Misc,Other,0,0,0.27,0.02,0.29
MLB Pennant Race,PS,1996,Sports,Sony Computer Entertainment,0.16,0.11,0,0.02,0.29
PGA Tour 97,PS,1996,Sports,Electronic Arts,0.16,0.11,0,0.02,0.29
SD Gundam G Century,PS,1997,Strategy,Namco Bandai,0,0,0.27,0.02,0.29
Kagero: Deception II,PS,1998,Strategy,Other,0.03,0.02,0.22,0.02,0.29
Fisherman's Bait 2: Big Ol' Bass,PS,1999,Sports,Other,0.16,0.11,0,0.02,0.29
Tomba! 2: The Evil Swine Return,PS,1999,Platform,Sony Computer Entertainment,0.16,0.11,0,0.02,0.29
BeatMania Append 4thMix: The beat goes on,PS,1999,Simulation,Other,0,0,0.27,0.02,0.29
Jikkyou Powerful Pro Yakyuu 2000 Kaimakuban,PS,2000,Sports,Other,0,0,0.27,0.02,0.29
Jeopardy! 2nd Edition,PS,2000,Misc,Other,0.16,0.11,0,0.02,0.29
Snowboarding,PS,2000,Sports,Other,0.16,0.11,0,0.02,0.29
Looney Tunes Racing,PS,2000,Racing,Other,0.16,0.11,0,0.02,0.29
Dynasty Tactics,PS2,2002,Strategy,Other,0.06,0.05,0.16,0.02,0.29
The Urbz: Sims In the City (US weekly sales),DS,2004,Simulation,Electronic Arts,0.27,0,0,0.02,0.29
Feel the Magic XY/XX,DS,2004,Puzzle,Sega,0.17,0,0.1,0.02,0.29
NBA Live 06,X360,2005,Sports,Electronic Arts,0.27,0,0,0.02,0.29
"Sakura Wars: So Long, My Love",PS2,2005,Role-Playing,Sega,0.07,0.05,0.15,0.02,0.29
Tom and Jerry Tales,DS,2006,Platform,Other,0.21,0.06,0,0.02,0.29
MLB Power Pros,Wii,2007,Sports,Other,0.23,0,0.04,0.02,0.29
Prince of Persia: Rival Swords,Wii,2007,Action,Ubisoft,0.24,0.03,0,0.02,0.29
Bladestorm: The Hundred Years' War,PS3,2007,Action,Other,0.1,0.03,0.14,0.02,0.29
Shrek the Third,Wii,2007,Action,Activision,0.26,0.01,0,0.02,0.29
Turning Point: Fall of Liberty,X360,2008,Shooter,Other,0.23,0.04,0,0.02,0.29
WWII Aces,Wii,2008,Simulation,Other,0.27,0,0,0.02,0.29
Purr Pals,Wii,2008,Simulation,Other,0.27,0,0,0.02,0.29
The BIGS 2,Wii,2009,Sports,Take-Two Interactive,0.26,0.01,0,0.02,0.29
One Piece Unlimited Cruise 2: Awakening of a Hero,Wii,2009,Action,Namco Bandai,0,0.1,0.17,0.02,0.29
Imagine: Fashion Designer World Tour,DS,2009,Simulation,Ubisoft,0.27,0,0,0.02,0.29
Dead Rising: Chop Till You Drop,Wii,2009,Action,Capcom,0.15,0.07,0.05,0.02,0.29
NieR,X360,2010,Role-Playing,Other,0.13,0.1,0.04,0.02,0.29
Ben 10 Ultimate Alien: Cosmic Destruction,Wii,2010,Platform,Other,0.17,0.1,0,0.02,0.29
I Spy: Spooky Mansion,Wii,2010,Puzzle,Other,0.27,0,0,0.02,0.29
X-Men Legends II: Rise of Apocalypse,PSP,2005,Role-Playing,Activision,0.25,0.01,0,0.03,0.29
Ratchet & Clank: Size Matters,PS2,2008,Platform,Sony Computer Entertainment,0.13,0.1,0.03,0.03,0.29
Mini Ninjas,X360,2009,Action,Other,0.12,0.14,0,0.03,0.29
The Chronicles of Riddick: Assault on Dark Athena,X360,2009,Shooter,Atari,0.16,0.1,0,0.03,0.29
Dynasty Warriors: Strikeforce,PS3,2009,Action,Other,0.11,0.08,0.07,0.03,0.29
Guitar Hero: Van Halen,Wii,2009,Misc,Activision,0.14,0.12,0,0.03,0.29
CSI: Deadly Intent,Wii,2009,Adventure,Ubisoft,0.13,0.13,0,0.03,0.29
Ace Combat: Joint Assault,PSP,2010,Simulation,Namco Bandai,0.06,0.05,0.15,0.03,0.29
The Golden Compass,PS3,2007,Action,Sega,0.14,0.1,0,0.05,0.29
Majin and the Forsaken Kingdom,PS3,2010,Adventure,Namco Bandai,0.09,0.14,0.01,0.05,0.29
Ben 10 Alien Force: Vilgax Attacks,PS2,2009,Action,Other,0.11,0.03,0,0.15,0.29
Romance of the Three Kingdoms VIII,PS2,2002,Strategy,Other,0.05,0.04,0.19,0.01,0.29
Teenage Mutant Ninja Turtles,XB,2003,Action,Other,0.22,0.06,0,0.01,0.29
AMF Bowling 2004,XB,2003,Sports,Other,0.22,0.06,0,0.01,0.29
Trace Memory,DS,2005,Adventure,Nintendo,0.15,0.01,0.12,0.01,0.29
Mah Jong Quest: Expeditions,DS,2007,Puzzle,Other,0.02,0.26,0,0.01,0.29
Glory of Heracles,DS,2008,Role-Playing,Nintendo,0.2,0,0.08,0.01,0.29
Star Gladiator Episode: I Final Crusade,PS,1996,Fighting,Other,0.07,0.05,0.15,0.02,0.29
Future Cop L.A.P.D.,PS,1997,Simulation,Electronic Arts,0.16,0.11,0,0.02,0.29
Dragon Ball Z: Budokai Tenkaichi 2,Wii,2006,Fighting,Atari,0.24,0.03,0,0.02,0.29
Dynasty Warriors 6,X360,2007,Action,Other,0.15,0.06,0.06,0.02,0.29
John Deere: Harvest in the Heartland,DS,2007,Simulation,Ubisoft,0.23,0.04,0,0.02,0.29
Final Fantasy XI: Wings of the Goddess,X360,2007,Role-Playing,Other,0.25,0,0.02,0.02,0.29
Zoo Tycoon 2 DS,DS,2008,Strategy,THQ,0.24,0.03,0,0.02,0.29
Reel Fishing: Angler's Dream,Wii,2009,Sports,Other,0.26,0.01,0,0.02,0.29
The Suite Life of Zack & Cody: Circle of Spies,DS,2007,Action,Other,0.17,0.09,0,0.03,0.29
FIFA Street 3,X360,2008,Sports,Electronic Arts,0.12,0.14,0,0.03,0.29
Guitar Hero: Van Halen,X360,2009,Misc,Activision,0.16,0.1,0,0.03,0.29
Invizimals: Shadow Zone,PSP,2010,Strategy,Sony Computer Entertainment,0.05,0.16,0,0.08,0.29
Real Pool,PS2,2000,Sports,Other,0.14,0.11,0,0.04,0.29
Bass Strike,PS2,2001,Sports,THQ,0.14,0.11,0,0.04,0.29
MX SuperFly featuring Ricky Carmichael,PS2,2002,Racing,THQ,0.14,0.11,0,0.04,0.29
NFL Blitz 20-02,PS2,2002,Sports,Other,0.14,0.11,0,0.04,0.29
NHL Hitz 20-03,PS2,2002,Sports,Other,0.14,0.11,0,0.04,0.29
Myst III: Exile,PS2,2002,Adventure,Ubisoft,0.14,0.11,0,0.04,0.29
Monster 4x4: Masters of Metal,PS2,2003,Racing,Ubisoft,0.14,0.11,0,0.04,0.29
R: Racing Evolution,PS2,2003,Racing,Namco Bandai,0.14,0.11,0,0.04,0.29
Harry Potter and the Sorcerer's Stone,PS2,2003,Action,Electronic Arts,0.14,0.11,0,0.04,0.29
Mission: Impossible - Operation Surma,PS2,2003,Platform,Atari,0.14,0.11,0,0.04,0.29
Deer Hunter,PS2,2003,Sports,Atari,0.14,0.11,0,0.04,0.29
Summer Heat Beach Volleyball,PS2,2003,Sports,Other,0.14,0.11,0,0.04,0.29
Viewtiful Joe,PS2,2004,Action,Capcom,0.14,0.11,0,0.04,0.29
Backyard Wrestling 2: There Goes the Neighborhood,PS2,2004,Fighting,Other,0.14,0.11,0,0.04,0.29
Wild ARMs 5,PS2,2006,Role-Playing,Other,0.14,0.11,0,0.04,0.29
Jackass the Game,PS2,2007,Action,Other,0.14,0.11,0,0.04,0.29
Syphon Filter: Dark Mirror,PS2,2007,Shooter,Sony Computer Entertainment,0.14,0.11,0,0.04,0.29
Soul Nomad & the World Eaters,PS2,2007,Role-Playing,Other,0.14,0.11,0,0.04,0.29
SingStar Country,PS2,2008,Misc,Sony Computer Entertainment,0.14,0.11,0,0.04,0.29
Tak and the Guardians of Gross,PS2,2008,Action,THQ,0.14,0.11,0,0.04,0.29
NCAA Basketball 09,PS2,2008,Sports,Electronic Arts,0.14,0.11,0,0.04,0.29
Tony Hawk: Shred,PS3,2010,Sports,Activision,0.18,0.07,0,0.04,0.29
Dead to Rights: Retribution,PS3,2010,Shooter,Namco Bandai,0.1,0.12,0.02,0.05,0.29
SD Gundam Gaiden: Knight Gundam Monogatari: Ooinaru Isan,SNES,1991,Role-Playing,Other,0,0,0.29,0,0.29
Romance of the Three Kingdoms III: Dragon of Destiny,SNES,1992,Strategy,Other,0,0,0.29,0,0.29
Itadaki Street 2: Neon Sign wa Bara Iro ni,SNES,1994,Misc,Other,0,0,0.29,0,0.29
Guardian Heroes,SAT,1995,Role-Playing,Sega,0,0,0.29,0,0.29
J-League Victory Goal '96,SAT,1996,Sports,Sega,0,0,0.29,0,0.29
Jikkyou Powerful Pro Yakyuu 8,PS2,2001,Sports,Other,0,0,0.29,0,0.29
"Sakura Wars 4: Koi Seyo,Otome",DC,2002,Adventure,Sega,0,0,0.29,0,0.29
Final Fantasy X-2: International + Last Mission,PS2,2004,Role-Playing,Other,0,0,0.29,0,0.29
Dragon Quest: Shounen Yangus to Fushigi no Dungeon,PS2,2006,Role-Playing,Other,0,0,0.29,0,0.29
Punch-Out!!,Wii,2007,Sports,Nintendo,0.02,0.22,0.05,0,0.29
Penguin no Mondai: Saikyou Penguin Densetsu! A Penguin's Troubles,DS,2008,Adventure,Other,0,0,0.29,0,0.29
Power Pro Kun Pocket 11,DS,2008,Sports,Other,0,0,0.29,0,0.29
Kurohyou: Ryu ga Gotoku Shinshou,PSP,2010,Adventure,Sega,0,0,0.29,0,0.29
WinBack: Covert Operations,PS2,2000,Shooter,Other,0.14,0.11,0,0.04,0.29
Grandia II,PS2,2002,Role-Playing,Ubisoft,0.14,0.11,0,0.04,0.29
Shrek Super Party,PS2,2002,Misc,Other,0.14,0.11,0,0.04,0.29
Rayman 3: Hoodlum Havoc,PS2,2003,Platform,Ubisoft,0.14,0.11,0,0.04,0.29
Mega Man X8,PS2,2004,Platform,Capcom,0.14,0.11,0,0.04,0.29
Psi-Ops: The Mindgate Conspiracy,PS2,2004,Shooter,Other,0.14,0.11,0,0.04,0.29
Ford Mustang: The Legend Lives,PS2,2005,Racing,Take-Two Interactive,0.14,0.11,0,0.04,0.29
Heroes of the Pacific,PS2,2005,Simulation,Other,0.14,0.11,0,0.04,0.29
Atelier Iris 3: Grand Phantasm (US Sales),PS2,2006,Role-Playing,Other,0.14,0.11,0,0.04,0.29
Surf's Up,PS2,2007,Sports,Ubisoft,0.14,0.11,0,0.04,0.29
Marvel Super Hero Squad,PS2,2009,Fighting,THQ,0.14,0.11,0,0.04,0.29
Junior Brain Trainer 2,DS,2010,Misc,Other,0.04,0.21,0,0.04,0.29
Jewel Quest Mysteries: Curse of the Emerald Tear,DS,2010,Puzzle,Other,0,0.25,0,0.04,0.29
Trivial Pursuit,PS3,2009,Misc,Electronic Arts,0.12,0.12,0,0.05,0.29
MLB SlugFest Loaded,PS2,2004,Sports,Other,0.14,0.11,0,0.04,0.29
Mr. Do!,2600,1982,Action,Other,0.26,0.02,0,0,0.28
Tao Feng: Fist of the Lotus,XB,2003,Fighting,Microsoft Game Studios,0.21,0.06,0,0.01,0.28
Dragon Ball Z: Budokai 2,GC,2004,Fighting,Atari,0.21,0.06,0,0.01,0.28
Shin Nippon Pro Wrestling: Toukon Retsuden 2,PS,1996,Fighting,Other,0,0,0.26,0.02,0.28
Dynasty Warriors,PS,1997,Action,Other,0.09,0.06,0.11,0.02,0.28
Dragon Ball GT: Final Bout,PS,1997,Fighting,Namco Bandai,0.02,0.02,0.22,0.02,0.28
Resident Evil 2: Dual Shock Edition,PS,1998,Action,Capcom,0,0,0.26,0.02,0.28
NHL 07,X360,2006,Sports,Electronic Arts,0.25,0.01,0,0.02,0.28
The Incredible Hulk,PS3,2008,Action,Sega,0.22,0.03,0,0.03,0.28
Iron Man 2,X360,2010,Action,Sega,0.15,0.1,0,0.03,0.28
Tiger Woods PGA Tour 07,PSP,2006,Sports,Electronic Arts,0.2,0.04,0,0.04,0.28
EyePet,PSP,2010,Simulation,Sony Computer Entertainment,0.02,0.17,0,0.09,0.28
Polaris,2600,1982,Action,Other,0.26,0.02,0,0,0.28
Mega Man: Dr. Wily's Revenge,GB,1991,Platform,Nintendo,0,0,0.28,0,0.28
Famista '92,NES,1991,Sports,Namco Bandai,0,0,0.28,0,0.28
Mega Man II,GB,1991,Platform,Nintendo,0,0,0.28,0,0.28
Lord of Darkness,SNES,1991,Action,Other,0,0,0.28,0,0.28
F1 ROC: Race of Champions,SNES,1992,Sports,Other,0,0,0.28,0,0.28
F-1 Grand Prix,SNES,1992,Racing,Other,0,0,0.28,0,0.28
International Superstar Soccer,SNES,1994,Sports,Other,0,0,0.28,0,0.28
SimCity 2000,SAT,1994,Simulation,Sega,0,0,0.28,0,0.28
Super Fire ProWrestling X,SNES,1995,Fighting,Other,0,0,0.28,0,0.28
The King of Fighters '95,SAT,1995,Fighting,Other,0,0,0.28,0,0.28
Nichibutsu Arcade Classics,SNES,1995,Misc,Other,0,0,0.28,0,0.28
Mobile Suit Gundam Side Story I: Senritsu no Blue,SAT,1996,Shooter,Namco Bandai,0,0,0.28,0,0.28
Kakyuusei,SAT,1997,Strategy,Other,0,0,0.28,0,0.28
Digimon Adventure: Anode Tamer,WS,1999,Role-Playing,Namco Bandai,0,0,0.28,0,0.28
Triple Play 2000,N64,1999,Sports,Electronic Arts,0.27,0.01,0,0,0.28
Donkey Kong GB: Dinky Kong & Dixie Kong,GB,2000,Platform,Nintendo,0,0,0.28,0,0.28
Jissen Pachi-Slot Hisshouhou! Moujuu-Oh S,PS2,2002,Misc,Other,0,0,0.28,0,0.28
Netsu Chu! Pro Yakyuu 2003,PS2,2003,Sports,Namco Bandai,0,0,0.28,0,0.28
Puyo Puyo! 15th Anniversary,DS,2006,Puzzle,Sega,0,0,0.28,0,0.28
Dynasty Warriors: Gundam,PS2,2008,Action,Namco Bandai,0,0,0.28,0,0.28
